City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
43,Gorontalo,ID,87.01,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
107,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
164,Pecos,US,85.03,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
294,Ende,ID,86.38,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
312,Karratha,AU,88.29,clear sky,-20.7377,116.8463,ibis Styles Karratha
344,Abu Zabad,SD,85.46,overcast clouds,12.35,29.25,حامد محمد نور
347,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
365,Namatanai,PG,85.95,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
384,Wewak,PG,85.08,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
385,Douentza,ML,86.92,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
390,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
398,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
402,Kandrian,PG,86.86,few clouds,-6.2167,149.55,Kandrian Station
454,Makakilo City,US,86.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
458,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
462,Bowen,AU,88.02,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
527,Vanimo,PG,85.33,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
543,Sola,VU,88.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
628,Emerald,AU,90.34,light rain,-23.5333,148.1667,The Irish Village
