City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Mataura,-46.1927,168.8643,70.75,52,100,4.85,NZ,2021-10-25 00:48:32,overcast clouds
1,Black River,18.0264,-77.8487,82.4,80,37,4.85,JM,2021-10-25 00:48:33,scattered clouds
2,Clyde River,70.4692,-68.5914,12.87,77,97,4.65,CA,2021-10-25 00:47:15,overcast clouds
3,Alekseyevsk,57.8406,108.3492,39.22,91,100,12.53,RU,2021-10-25 00:48:33,overcast clouds
4,Bluff,-46.6,168.3333,57.72,81,99,11.92,NZ,2021-10-25 00:48:33,overcast clouds
5,Avarua,-21.2078,-159.775,77.05,53,20,12.66,CK,2021-10-25 00:48:34,few clouds
6,Albany,42.6001,-73.9662,51.8,84,96,2.08,US,2021-10-25 00:48:34,overcast clouds
7,Ushuaia,-54.8,-68.3,33.46,80,75,28.77,AR,2021-10-25 00:44:36,light snow
8,Los Llanos De Aridane,28.6585,-17.9182,67.75,88,90,8.05,ES,2021-10-25 00:48:35,overcast clouds
9,Rikitea,-23.1203,-134.9692,74.79,76,25,17.4,PF,2021-10-25 00:46:29,scattered clouds
10,Xixiang,35.1628,112.865,60.15,59,92,3.78,CN,2021-10-25 00:48:35,overcast clouds
11,Vaini,-21.2,-175.2,78.96,78,20,13.8,TO,2021-10-25 00:48:36,few clouds
12,Sao Filipe,14.8961,-24.4956,78.12,70,32,10.58,CV,2021-10-25 00:48:37,scattered clouds
13,Cape Town,-33.9258,18.4232,58.26,69,0,1.99,ZA,2021-10-25 00:47:52,clear sky
14,Qaanaaq,77.484,-69.3632,-5.22,60,0,10.27,GL,2021-10-25 00:48:37,clear sky
15,Busselton,-33.65,115.3333,57.58,65,100,10.42,AU,2021-10-25 00:48:37,overcast clouds
16,Thompson,55.7435,-97.8558,30.36,86,75,4.61,CA,2021-10-25 00:48:38,light snow
17,Richards Bay,-28.783,32.0377,63.23,69,84,3.36,ZA,2021-10-25 00:48:38,broken clouds
18,Kavaratti,10.5669,72.642,81.34,78,100,10.85,IN,2021-10-25 00:47:48,overcast clouds
19,Tasiilaq,65.6145,-37.6368,30.36,85,100,47.8,GL,2021-10-25 00:48:38,snow
20,Shelburne,44.0787,-80.2041,48.56,83,100,4.72,CA,2021-10-25 00:45:18,overcast clouds
21,Jamestown,42.097,-79.2353,51.3,99,90,1.99,US,2021-10-25 00:48:20,moderate rain
22,Russell,32.3502,-85.1999,69.4,83,40,0.0,US,2021-10-25 00:45:18,scattered clouds
23,Parrita,9.5201,-84.3225,82.17,92,100,4.27,CR,2021-10-25 00:48:39,overcast clouds
24,Khatanga,71.9667,102.5,0.23,89,99,16.37,RU,2021-10-25 00:48:40,overcast clouds
25,Port Blair,11.6667,92.75,81.18,78,100,5.95,IN,2021-10-25 00:48:40,overcast clouds
26,Hermanus,-34.4187,19.2345,53.91,77,0,9.53,ZA,2021-10-25 00:48:40,clear sky
27,Nyuksenitsa,60.4128,44.2397,26.11,95,38,6.73,RU,2021-10-25 00:48:41,scattered clouds
28,Ilulissat,69.2167,-51.1,1.36,74,85,6.85,GL,2021-10-25 00:48:41,overcast clouds
29,Mar Del Plata,-38.0023,-57.5575,64.09,56,0,5.99,AR,2021-10-25 00:46:34,clear sky
30,Port Alfred,-33.5906,26.891,57.34,81,0,11.56,ZA,2021-10-25 00:48:42,clear sky
31,Saint-Philippe,-21.3585,55.7679,71.19,83,45,14.52,RE,2021-10-25 00:43:51,scattered clouds
32,San Policarpo,12.1791,125.5072,83.75,73,100,5.46,PH,2021-10-25 00:48:42,overcast clouds
33,Saint George,37.1041,-113.5841,72.19,34,1,1.01,US,2021-10-25 00:48:42,clear sky
34,Geraldton,-28.7667,114.6,68.41,64,90,12.66,AU,2021-10-25 00:48:43,overcast clouds
35,Provideniya,64.3833,-173.3,26.71,59,0,4.47,RU,2021-10-25 00:48:43,clear sky
36,Saskylakh,71.9167,114.0833,-17.21,100,57,2.95,RU,2021-10-25 00:48:43,broken clouds
37,Port Elizabeth,-33.918,25.5701,50.09,93,0,3.44,ZA,2021-10-25 00:48:44,clear sky
38,Okha,53.5739,142.9478,43.47,82,44,10.6,RU,2021-10-25 00:48:44,scattered clouds
39,Punta Arenas,-53.15,-70.9167,41.11,56,75,17.27,CL,2021-10-25 00:46:41,broken clouds
40,Kodiak,57.79,-152.4072,47.71,71,40,11.5,US,2021-10-25 00:48:45,scattered clouds
41,Kavieng,-2.5744,150.7967,84.79,68,21,10.33,PG,2021-10-25 00:48:45,light rain
42,Butaritari,3.0707,172.7902,81.97,72,1,3.6,KI,2021-10-25 00:48:45,clear sky
43,Gorontalo,0.5412,123.0595,87.01,61,93,2.08,ID,2021-10-25 00:48:46,overcast clouds
44,Cururupu,-1.8283,-44.8683,77.5,88,2,4.09,BR,2021-10-25 00:48:46,clear sky
45,Ust-Kulom,61.6864,53.6902,28.83,88,100,6.06,RU,2021-10-25 00:48:47,overcast clouds
46,Zenzeli,45.9241,47.0474,52.68,43,100,16.35,RU,2021-10-25 00:48:47,light rain
47,Ndjole,-0.1783,10.7649,74.7,99,98,2.28,GA,2021-10-25 00:48:48,light rain
48,Tambura,5.6,27.4667,71.55,81,97,0.92,SS,2021-10-25 00:48:48,overcast clouds
49,Cabadiangan,9.7531,122.4739,83.91,72,45,1.28,PH,2021-10-25 00:48:49,scattered clouds
50,Tautira,-17.7333,-149.15,73.42,84,100,16.96,PF,2021-10-25 00:48:49,overcast clouds
51,Luena,-11.7833,19.9167,60.91,96,100,7.09,AO,2021-10-25 00:48:50,heavy intensity rain
52,Tuktoyaktuk,69.4541,-133.0374,26.6,100,40,5.75,CA,2021-10-25 00:48:50,scattered clouds
53,New Norfolk,-42.7826,147.0587,55.71,58,79,4.0,AU,2021-10-25 00:48:51,broken clouds
54,Yellowknife,62.456,-114.3525,42.42,85,75,21.85,CA,2021-10-25 00:45:18,broken clouds
55,Georgetown,5.4112,100.3354,78.73,93,20,5.01,MY,2021-10-25 00:48:51,mist
56,High Level,58.5169,-117.136,39.31,100,90,10.36,CA,2021-10-25 00:48:52,overcast clouds
57,Vostok,46.4856,135.8833,46.45,47,1,3.58,RU,2021-10-25 00:48:52,clear sky
58,Mitsamiouli,-11.3847,43.2844,78.89,85,68,15.82,KM,2021-10-25 00:48:53,broken clouds
59,Hoima,1.4356,31.3436,64.2,94,89,1.19,UG,2021-10-25 00:48:53,overcast clouds
60,Trincomalee,8.5711,81.2335,79.27,79,100,8.72,LK,2021-10-25 00:48:53,overcast clouds
61,Lagoa,39.05,-27.9833,66.13,73,54,7.07,PT,2021-10-25 00:47:24,broken clouds
62,Buin,-33.7333,-70.75,75.24,32,0,8.32,CL,2021-10-25 00:48:54,clear sky
63,Samarai,-10.6167,150.6667,83.61,71,12,12.46,PG,2021-10-25 00:48:54,few clouds
64,Orlik,52.5178,99.825,29.28,83,88,4.03,RU,2021-10-25 00:48:54,overcast clouds
65,Bredasdorp,-34.5322,20.0403,50.29,87,0,4.61,ZA,2021-10-25 00:48:55,clear sky
66,Beringovskiy,63.05,179.3167,10.99,79,21,6.08,RU,2021-10-25 00:48:06,few clouds
67,Broome,42.2506,-75.833,51.21,86,90,4.61,US,2021-10-25 00:48:55,light rain
68,Daru,-9.0763,143.2092,83.57,76,82,10.49,PG,2021-10-25 00:48:55,broken clouds
69,Kapaa,22.0752,-159.319,84.18,76,75,5.01,US,2021-10-25 00:48:56,broken clouds
70,Saint Anthony,45.0205,-93.218,48.29,63,1,3.0,US,2021-10-25 00:48:56,clear sky
71,Bethel,41.3712,-73.414,54.91,80,90,0.0,US,2021-10-25 00:48:57,overcast clouds
72,Codrington,-38.2667,141.9667,55.26,61,58,11.88,AU,2021-10-25 00:48:57,broken clouds
73,Hilo,19.7297,-155.09,82.27,75,90,10.36,US,2021-10-25 00:48:57,overcast clouds
74,Dingle,10.9995,122.6711,82.47,80,92,1.52,PH,2021-10-25 00:48:58,overcast clouds
75,Roald,62.5833,6.1333,51.94,82,90,5.75,NO,2021-10-25 00:48:58,overcast clouds
76,Ust-Ishim,57.6935,71.1665,45.99,80,100,13.62,RU,2021-10-25 00:48:59,light rain
77,Oktyabrskoye,43.0645,44.7417,46.54,100,100,4.47,RU,2021-10-25 00:48:59,fog
78,Tiksi,71.6872,128.8694,-0.26,100,94,3.71,RU,2021-10-25 00:48:59,overcast clouds
79,Quelimane,-17.8786,36.8883,77.04,90,58,8.57,MZ,2021-10-25 00:49:00,broken clouds
80,Puerto Ayora,-0.7393,-90.3518,68.56,94,100,3.0,EC,2021-10-25 00:49:00,overcast clouds
81,Bambous Virieux,-20.3428,57.7575,73.65,78,40,11.5,MU,2021-10-25 00:49:01,scattered clouds
